Skew,Kurtosis,b,c,d,_RHS_
0,15,0.433369,9.37E-20,0.161637,1.34E-25
0,15.1,0.431328,1.14E-19,0.16214,1.65E-25
0,15.2,0.429294,-2.10E-14,0.162641,6.15E-18
0,15.3,0.427267,-2.50E-14,0.16314,8.46E-18
0,15.4,0.425247,-3.00E-14,0.163636,1.16E-17
0,15.5,0.423234,1.13E-17,0.16413,2.56E-23
0,15.6,0.421228,7.63E-10,0.164622,2.02E-14
0,15.7,0.419228,-8.80E-17,0.165112,1.59E-28
0,15.8,0.417235,2.36E-15,0.1656,7.03E-19
0,15.9,0.415249,4.54E-16,0.166086,7.10E-19
0,16,0.413269,8.09E-16,0.16657,1.43E-18
0,16.1,0.411295,1.36E-15,0.167051,2.80E-18
0,16.2,0.409328,2.17E-15,0.167531,5.36E-18
0,16.3,0.407367,3.33E-15,0.168009,1.00E-17
0,16.4,0.405413,-9.00E-19,0.168485,1.96E-25
0,16.5,0.403464,-1.00E-18,0.168958,2.69E-25
0,16.6,0.401522,-1.20E-18,0.16943,3.66E-25
0,16.7,0.399585,-1.30E-18,0.169901,4.92E-25
0,16.8,0.397655,3.24E-12,0.170369,7.94E-17
0,16.9,0.395731,-1.60E-11,0.170835,5.34E-16
0,17,0.393812,1.28E-18,0.1713,2.71E-27
0,17.1,0.391899,-1.80E-10,0.171762,4.85E-17
0,17.2,0.389992,-3.70E-17,0.172223,5.02E-23
0,17.3,0.388091,-4.30E-17,0.172682,8.54E-23
0,17.4,0.386195,-4.90E-17,0.173139,1.45E-22
0,17.5,0.384305,-5.40E-17,0.173595,2.47E-22
0,17.6,0.382421,5.94E-15,0.174049,4.09E-18
0,17.7,0.380542,-1.10E-15,0.174501,7.29E-20
0,17.8,0.378668,-1.20E-15,0.174951,7.11E-20
0,17.9,0.376799,-4.80E-17,0.1754,1.80E-22
0,18,0.374936,-5.90E-17,0.175847,2.78E-22
0,18.1,0.373079,-7.30E-17,0.176293,4.27E-22
0,18.2,0.371226,-8.80E-17,0.176736,6.49E-22
0,18.3,0.369379,-1.30E-18,0.177179,4.48E-22
0,18.4,0.367536,-1.60E-18,0.177619,6.83E-22
0,18.5,0.365699,-1.90E-18,0.178058,1.04E-21
0,18.6,0.363867,-2.40E-18,0.178495,1.57E-21
0,18.7,-1.57741,1.99E-17,0.333205,1.18E-19
0,18.8,-1.57728,1.23E-16,0.333474,3.00E-21
0,18.9,-1.57716,3.61E-20,0.333742,5.60E-26
0,19,-1.57703,-3.20E-15,0.334008,1.75E-19
0,19.1,0.354779,9.40E-15,0.180659,1.89E-17
0,19.2,0.352976,2.62E-14,0.181087,4.92E-17
0,19.3,0.351178,-3.50E-13,0.181514,3.01E-23
0,19.4,0.349384,1.13E-13,0.181939,2.62E-21
0,19.5,0.347595,1.20E-13,0.182363,7.25E-22
0,19.6,0.345811,8.56E-14,0.182786,1.89E-22
0,19.7,0.344031,4.22E-17,0.183207,2.02E-29
0,19.8,0.342255,-1.70E-16,0.183626,1.32E-27
0,19.9,0.340484,-1.60E-11,0.184044,2.34E-18
0,20,0.338718,1.75E-18,0.184461,3.82E-28
0.1,-1.2,1.359452,0.03619,-0.13597,0.000399
0.1,-1.1,1.286815,0.032323,-0.1078,8.36E-14
0.1,-1,1.226759,0.027976,-0.08278,1.42E-15
0.1,-0.9,-1.42707,0.039716,0.175194,5.62E-20
0.1,-0.8,-1.43978,0.039592,0.182227,4.72E-23
0.1,-0.7,-1.44983,0.039331,0.187949,1.25E-19
0.1,-0.6,-1.45817,0.038996,0.192822,1.77E-15
0.1,-0.5,-1.46532,0.03862,0.197093,2.69E-23
0.1,-0.4,-1.47157,0.038222,0.20091,2.16E-23
0.1,-0.3,1.043776,0.018255,-0.01493,4.01E-19
0.1,-0.2,1.028515,0.017679,-0.0097,1.30E-20
0.1,-0.1,1.014453,0.017174,-0.00494,5.49E-22
0.1,0,1.490856,0.036575,-0.21321,1.16E-15
0.1,0.1,-1.49469,0.036169,0.215777,1.18E-19
0.1,0.2,0.977721,0.015961,0.007288,1.94E-15
0.1,0.3,0.966888,0.015631,0.010839,3.60E-15
0.1,0.4,0.956614,0.015329,0.014182,1.71E-17
0.1,0.5,0.946837,0.01505,0.017345,1.30E-16
0.1,0.6,-1.5103,0.034254,0.226671,9.70E-16
0.1,0.7,0.928561,0.014552,0.023203,9.00E-16
0.1,0.8,0.91998,0.014329,0.025932,3.47E-16
0.1,0.9,0.911724,0.014119,0.028543,1.39E-16
0.1,1,0.903764,0.013922,0.031048,5.75E-17
0.1,1.1,0.896076,0.013736,0.033457,2.42E-17
0.1,1.2,0.888638,0.013561,0.035777,1.04E-17
0.1,1.3,0.881431,0.013395,0.038015,4.20E-21
0.1,1.4,0.874437,0.013237,0.040177,7.00E-21
0.1,1.5,0.867642,0.013087,0.04227,3.72E-22
0.1,1.6,0.861032,0.012944,0.044298,1.97E-15
0.1,1.7,0.854595,0.012807,0.046266,8.91E-16
0.1,1.8,0.84832,0.012677,0.048177,5.95E-27
0.1,1.9,0.842197,0.012552,0.050035,2.38E-27
0.1,2,0.836217,0.012432,0.051844,9.38E-28
0.1,2.1,0.830372,0.012317,0.053606,1.22E-14
0.1,2.2,0.824654,0.012206,0.055324,7.52E-15
0.1,2.3,0.819057,0.012099,0.057,4.56E-15
0.1,2.4,1.542287,0.028939,-0.25256,1.50E-18
0.1,2.5,1.543474,0.028703,-0.25366,7.60E-21
0.1,2.6,1.544621,0.028472,-0.25474,7.97E-24
0.1,2.7,1.545729,0.028245,-0.2558,7.45E-22
0.1,2.8,1.546802,0.028024,-0.25683,1.45E-16
0.1,2.9,0.787687,0.011533,0.066301,2.13E-25
0.1,3,0.782783,0.011449,0.067741,1.06E-25
0.1,3.1,0.77796,0.011368,0.069153,1.31E-25
0.1,3.2,0.773216,0.011288,0.070538,6.52E-13
0.1,3.3,0.768546,0.011212,0.071899,7.24E-26
0.1,3.4,0.763949,0.011137,0.073235,7.21E-28
0.1,3.5,0.759421,0.011065,0.074547,1.37E-14
0.1,3.6,0.754959,0.010994,0.075838,1.03E-14
0.1,3.7,0.750561,0.010925,0.077106,7.88E-15
0.1,3.8,0.746225,0.010858,0.078354,3.94E-20
0.1,3.9,0.741949,0.010793,0.079583,1.99E-19
0.1,4,-1.55736,0.025677,0.267857,1.27E-18
0.1,4.1,-1.55808,0.025504,0.26868,1.48E-23
0.1,4.2,-1.55878,0.025335,0.26949,7.32E-17
0.1,4.3,-1.55946,0.025168,0.270289,2.03E-19
0.1,4.4,-1.56013,0.025004,0.271075,1.78E-24
0.1,4.5,0.717427,0.010433,0.086573,2.56E-20
0.1,4.6,0.713514,0.010378,0.08768,1.44E-27
0.1,4.7,0.709645,0.010324,0.088773,1.49E-27
0.1,4.8,0.705821,0.010271,0.08985,4.63E-27
0.1,4.9,0.70204,0.01022,0.090914,7.93E-19
0.1,5,0.698299,0.010169,0.091964,1.90E-28
0.1,5.1,0.6946,0.010119,0.093001,7.45E-15
